RT,Compound,Category,BL1-1_Sediment,BL2-23_Sediment,BL2-2_Sediment_3,LCL4_Sediment,LCL5_Sediment,SL_Sediment_1,SL_Sediment_3,BL4_Sediment,BL1-2_Brine,BL2-23_Brine,BL4_Brine,BL2-4_Brine,LCL4_Brine,LCL5_Brine,BL2-2_Brine,BL2-11_Streamers,BL1-2_Mat_Top,BL1-2_Mat_Bottom,BL1-1_Mat,BL2-23_Mat,LCL4_Mat,LCL5_Mat,BL1-1_Salt,BL1-1_Salt_1,BL2-23_Salt,BL4_Salt,BL1-1_Salt_2,SL_Salt_2,SLSU_Spring,SLSL_Spring,SLSU_Sediment,SLP_Sediment
9.09,oxo-C10,Oxo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.130861923,1.32678212,1.017445328,3.374300415,1.032340828,0.452794693,0,0,0,0,0,0,0,0,0,0
9.15,n-C12:0 FAME,Short_Saturated,0,0,0,0,0,0,0,0.708597953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26070624,0,0.143105841,0,0.101534256,0,0,0.300469246,0.102333692,0.723622777
9.27,C9:0 Diacid,Diacid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.335210131,0,0,0,0,0,0,0,0,0,0,0
9.42,C9:0 Diacid,Diacid,0,0,0,0.161854644,0.338330647,0,0.454702411,1.084709474,0,0,0,0,0,0,0,0,8.335667297,7.669566418,6.980228965,5.879395477,0,2.457733564,0.170923477,0.297020661,0,0,0.077857459,0,0,0,0.105527608,0.371264542
9.7,i-C13:0  FAME,Branched,0,0,0,0,0,0,0,0.452177181,0,0,0,0,0,0,0,0,0,0,0,2.569641399,0.361373583,0,0,0,0,0,0,0,0,0,0,0.336666879
9.74,C10:0 Dimethoxy,Dimethoxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.339374775,0,1.343820461,0,1.870961294,0.681166872,0,0,0,0,0,0,0,0,0,0
9.83,a-C13:0 FAME,Branched,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150169571,0.127833337,0,0,0.077258004,0,0,0,0,0.242565569
9.86,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641555586,0.595730327,0,0,0,0,0,0,0,0,0,0,0,0
10.04,n-C13:0 FAME,Short_Saturated,0,0,0,0,0,0,0,1.783072798,0,0,0,0,0,0,0,0,0,0,0.29844663,0.541070861,1.618506457,0.565405447,0,0,0,0,0,0,0,0,0.067877199,0.514124221
10.19,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417924295,0.267450273,0,0,0,0,0,0,0,0,0,0,0,0
