Sample,Lake,Depth,TLE,TOC,FA_TLE,Alkanes_TLE
SL_2,Salt Lake,2,2.151751889,10.4,13.4842709,0.118546344
SL_5,Salt Lake,5,1.475918333,9.64,9.977789388,0.126734327
SL_8,Salt Lake,8,1.682592393,9.28,9.804692305,0.367160814
SL_11,Salt Lake,11,1.756989333,9.74,16.69308973,0.088292197
SL_14,Salt Lake,14,1.209507259,8.12,11.53944386,0.198637031
SL_17,Salt Lake,17,1.507848,10.48,17.56197092,0.092356026
SL_23,Salt Lake,23,1.684137333,9.36,12.9390443,0.131729274
SL_26,Salt Lake,26,1.561410333,9.77,13.55918,0.121161126
SL_29,Salt Lake,29,1.530593333,7.93,12.20766638,0.146248804
SL_32,Salt Lake,32,1.190939333,7.38,13.84914219,0.248376233
SL_35,Salt Lake,35,1.039026,5.98,11.85235928,0.220817354
SL_38,Salt Lake,38,0.975056667,6.61,11.7977031,0.204138962
SL_42,Salt Lake,41,1.12737815,5.73,10.55295974,0.321083553
SL_44,Salt Lake,44,1.458700474,5.73,8.709419981,0.249825376
SL_47,Salt Lake,47,1.232752258,4.8,10.86015228,0.430929679
SL_50,Salt Lake,50,1.002633584,4.54,14.38734807,0.48079452
SL_53,Salt Lake,53,0.93800574,4.63,11.9120674,0.357622065
SL_56,Salt Lake,56,1.013120467,4.18,8.930109214,0.383238764
SL_59,Salt Lake,59,1.243809998,4.38,11.49586346,0.482117291
SL_62,Salt Lake,62,1.03172841,5.01,13.79217777,
SL_65,Salt Lake,65,1.137293242,3.81,8.659981835,0.352742578
SL_68,Salt Lake,68,1.761394087,3.67,6.063209345,0.216844372
SL_74,Salt Lake,74,0.440271976,1.99,8.989544635,0.646463724
SL_77,Salt Lake,77,0.267673747,0.78,7.802338907,0.891268023
SL_80,Salt Lake,80,0.720921398,0.75,4.065981145,1.189089013
SL_83,Salt Lake,83,0.162837294,0.71,6.723403403,0.885604907
BL3_5,Basque Lake 2,5,0.799634647,7.87,97.84190102,118.1388946
BL3_8,Basque Lake 2,8,0.940012959,10.59,81.17198151,131.8609421
BL3_11,Basque Lake 2,11,1.062805452,15.78,97.55208612,118.0602123
BL3_14,Basque Lake 2,14,1.169704563,12.51,91.28652833,19.60797269
BL3_17,Basque Lake 2,17,1.208842277,11.48,121.8984724,35.90916871
BL3_20,Basque Lake 2,20,0.967091185,10.04,100.5195878,48.44499562
BL3_23,Basque Lake 2,23,2.210036282,6.7,32.0555525,28.4858417
BL3_26,Basque Lake 2,26,2.451731195,11.43,24.87728115,6.13579208
BL3_29,Basque Lake 2,29,2.960727151,10.68,12.33819563,4.653009836
BL3_32,Basque Lake 2,32,2.860471337,10.37,9.790949885,5.628296657
BL3_35,Basque Lake 2,35,3.28289927,14.78,27.73923492,2.673104793
BL3_38,Basque Lake 2,38,3.011361948,13.32,25.72227772,3.410799966
BL3_41,Basque Lake 2,41,3.802873873,9.79,16.96583681,3.460271179
BL3_44,Basque Lake 2,44,2.848124447,12.139,29.26041665,5.414412676
BL3_47,Basque Lake 2,47,3.487011543,11.02,19.51459168,3.036005234
BL3_50,Basque Lake 2,50,2.025170129,3.17,26.94498572,2.297719752
BL1-1 10-13,Basque Lake 1-1,10,,,,
BL1-1 13-16,Basque Lake 1-1,13,,,,
BL1-1 16-19,Basque Lake 1-1,16,,,,
BL1-1 19-22,Basque Lake 1-1,19,,,,
BL1-1 22-25,Basque Lake 1-1,22,,,,
BL1-1 25-28,Basque Lake 1-1,25,,,,
BL1-1 28-31,Basque Lake 1-1,28,,,,
BL1-1 31-34,Basque Lake 1-1,31,,,,
BL1-1 34-37,Basque Lake 1-1,34,,,,
BL1-1 3-7,Basque Lake 1-1,3,,,,
BL1-1 37-40,Basque Lake 1-1,37,,,,
BL1-1 7-10,Basque Lake 1-1,7,,,,
BL1-2 10-13,Basque Lake 1-2,10,,,,
BL1-2 13-16,Basque Lake 1-2,13,,,,
BL1-2 16-19,Basque Lake 1-2,16,,,,
BL1-2 19-22,Basque Lake 1-2,19,,,,
BL1-2 22-25,Basque Lake 1-2,22,,,,
BL1-2 25-28,Basque Lake 1-2,25,,,,
BL1-2 28-31,Basque Lake 1-2,28,,,,
BL1-2 31-34,Basque Lake 1-2,31,,,,
BL1-2 34-37,Basque Lake 1-2,34,,,,
BL1-2 37-40,Basque Lake 1-2,37,,,,
BL1-2 40-43,Basque Lake 1-2,40,,,,
BL1-2 43-46,Basque Lake 1-2,43,,,,
BL1-2 46-49,Basque Lake 1-2,46,,,,
BL1-2 49-52,Basque Lake 1-2,49,,,,
BL1-2 52-55,Basque Lake 1-2,52,,,,
BL1-2 55-58,Basque Lake 1-2,55,,,,
BL1-2 58-61,Basque Lake 1-2,58,,,,
BL1-2 61-64,Basque Lake 1-2,61,,,,
BL1-2 7-10,Basque Lake 1-2,7,,,,
BL2-23 11-14,Basque Lake 2-23,11,,,,
BL2-23 14-17,Basque Lake 2-23,14,,,,
BL2-23 17-20,Basque Lake 2-23,17,10.29666667,,,
BL2-23 20-23,Basque Lake 2-23,20,12.97,,,
BL2-23 23-26,Basque Lake 2-23,23,,,,
BL2-23 2-5,Basque Lake 2-23,2,8.24,,,
BL2-23 26-29,Basque Lake 2-23,26,8.89,,,
BL2-23 29-32,Basque Lake 2-23,29,14.23333333,,,
BL2-23 32-35,Basque Lake 2-23,32,11.35666667,,,
BL2-23 35-38,Basque Lake 2-23,35,,,,
BL2-23 38-41,Basque Lake 2-23,38,,,,
BL2-23 41-45,Basque Lake 2-23,41,,,,
