Compound,Category,BL1-1_Mat,BL1-2_Mat_Bottom,BL1-2_Mat_Top ,BL2-23_Mat,LCL4_Mat,BL2-11_Streamers,BL1-1_Salt ,BL1-1_Salt_1,BL1-1_Salt_2,BL2-23_Salt,BL4_Salt,SL_Salt_2,BL2-1_Brine,BL2-2_Brine,BL_Sediment_3,BL1-1_Sediment,BL2-23_Sediment,BL4_Sediment,LCL4_Sediment,SL_Sediment_1,SL_Sediment_3,BL2-4_Brine,LCL5_Sediment
br-C16:0,Branched_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674014996,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.038870552,0,0,0,0,0,0.344175626,0.10958622,0,0,0,0,0,0,0,1.092666725,0
C17:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140562224,0,0,0,0
C17:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236200137,0,0.272372585,0,0,0,0,0
i-C17:0,Branched_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22156995,0,0,0,0
i-C17:0,Branched_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322959206,0,0,0,0,0
n-C17:0 ,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43926181,0,0,0,0
n-C17:0 ,Short_Saturated_Alkane,0,0,0,0,0,2.343419002,0,0,0,0,0,0,0,0,0.913612604,0,0.488890919,0.953384651,0,0,0,0,0
n-C17:0 ,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452341524,0,0,0,0,0,0,0.147827816
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243041315,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257320052,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071894921,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061307215,0,0,0,0,0
n-C14:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079517065,0,0,0,0
n-C14:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287359062
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203730237,0.235921995,0,0,0,0,0,0,0
br-C18:0 ,Branched_Alkane,0,0,0,0,0,2.529295682,0,0,0,0,0,0,0,0,0,0,0,0.803400636,0,0,0,0,0
br-C18:0 ,Branched_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569124943,1.07139306,0.233912426,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129760056,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326742007,0,0.343375404,0,0,0,0,0
thiophene-C18:0 ,Thiophene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.054869802,0,0,0,0
thiophene-C18:0 ,Thiophene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716319515,0,0.60513429,0,0,0,0,0.369225671
,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287478071,0,0,0,0,0,0,0,0
C18:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660251168,0.592435643,0,2.073643684,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111445027,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152158134,0,0,0,0,0.492257616
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303197551,0.160841727,0.222740526,0,0,0.19711038,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13801815,0,0
iso-C20:0 ,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157954634,1.399008802,0,0,0,0
iso-C20:0 ,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166412374,0,0,0,0.329210305,0,0,0.886049055
iso-C20:0 ,Isoprenoid_Alkane,0,0,0,0,0.398741435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240938608,0,0
iso-C20:0 ,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002118702,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.025848353,0,0,0,0,0,11.67207003,0.288344975,0,0,0,0,0,0,0,0.756940188,0
FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896195092,0,0,0,0
FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400483714
iso-C20:1,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156342376,0,0,0,0
iso-C20:1,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252519561,0,0,0,0,0,0,0.077216982
Unknown,Unknown,0,0,0,0,0,3.088797286,0,0,0,0,0,0,0,0,0,0,0,0,0.992465067,0,0,0,0
iso-C20:2,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488681914,0.76903401,0.441761637,0.451336516,0,0.275265852,0,0,0.261672344
Unknown,Unknown,0,0,0,0,0,0,0.031795042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429897767,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126298556,0,0,0,0,0,0
iso-C20:2,Isoprenoid_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.735485019,0,0,0,0
Unknown,Unknown,0,0,0,0,0,3.124182432,0,0,0,0,0,0,0,0,1.14670925,0,0.411180283,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.007910148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.132167359,0,0,0,0
C19:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.229141571,0,0,0,0,0.346382464
iso-C20:2,Isoprenoid_Alkane,0,0,0,0,0,5.041337809,0,0,0,0,0,0,0,0,0,0,0,0,5.394630799,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125504748,0,0.675757121,0,0,0.617991715,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.016605557,0,0,0,0,0,0,0,0,0.480472904,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232238416
C19:1,MUFA_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504568557,0,0,0,0,0
n-C19:0,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500204032,0,0,0,0,0,0,0,0.130528939
n-C19:0,Short_Saturated_Alkane,0,0,0,0,0,0.475174949,0,0,0,0,0,0,0,0,0,0.165327099,0.419659048,0.431927205,0,0.213545289,0,0,0
n-C19:0,Short_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238256448,0,0
C16:1 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.820661035,0.109715153,0,0,2.990575604
C16:1 FAME,FAME,0,0,0,0,0,0.68375188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C16:0 FAME,FAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87532965,0,0,0,6.897521181
n-C16:0 FAME,FAME,0,0,0,0,0,0.804260342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C16:0 FAME,FAME,0,0,0,0,0.254759789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255468535,0,0
